h3_cell_6,sum_population,avg_food,sum_gdp,gdp_per_capita
86264b38fffffff,354.0,,827858.26754,2338.582676666667
86264b397ffffff,519.0,,1249212.25298,2406.960025009634
86264b39fffffff,215.0,,687030.9101,3195.492605116279
86264b3a7ffffff,2809.0,,84674440.18896,30143.980131349235
86264b3afffffff,716.0,,2143238.2062399997,2993.3494500558654
86264b3b7ffffff,751.0,,2724552.02674,3627.8988372037284
86264b407ffffff,434.0,,555230.6261999999,1279.3332400921659
86264b40fffffff,369.0,,1112669.1715,3015.3636084010836
86264b417ffffff,582.0,,986172.6479000001,1694.4547214776635
86264b41fffffff,496.0,,3125982.34376,6302.383757580646
86264b427ffffff,154.0,,1310237.10552,8508.033152727272
86264b42fffffff,459.0,,1080930.2462,2354.96785664488
86264b437ffffff,541.0,,792187.9824,1464.3031097966727
86264b447ffffff,616.0,,2168099.6432,3519.6422779220775
86264b44fffffff,1673.0,,62751275.896299995,37508.23424763897
86264b457ffffff,313.0,,458035.79086999997,1463.373133769968
86264b45fffffff,1072.0,,8795996.9616,8205.221046268656
86264b467ffffff,1128.0,,4692307.3292,4159.846923049645
86264b46fffffff,627.0,,10103334.3301,16113.77086140351
86264b477ffffff,347.0,,699334.56164,2015.3733764841497
86264b487ffffff,394.0,,535571.34964,1359.3181462944162
86264b48fffffff,130.0,,659911.0309,5076.238699230769
86264b497ffffff,1472.0,,22761141.1699,15462.731773029891
86264b49fffffff,758.0,,1161785.2243000001,1532.6981850923485
86264b4a7ffffff,1852.0,,72043741.1076,38900.508157451404
86264b4afffffff,337.0,,870430.5755400001,2582.88004611276
86264b4b7ffffff,1278.0,,15695631.5518,12281.401840219092
86264b4c7ffffff,284.0,,795652.5681,2801.5935496478874
86264b4cfffffff,752.0,,2528344.4003,3362.1601067819147
86264b4d7ffffff,563.0,,1496396.39995,2657.8976908525756
86264b4dfffffff,248.0,,358332.9154,1444.8907879032258
86264b4e7ffffff,101.0,,356335.1246,3528.0705405940594
86264b4efffffff,490.0,,1509186.9993999999,3079.973468163265
86264b4f7ffffff,443.0,,1651757.5009899999,3728.5722369977425
86264b507ffffff,82.0,,466885.96379,5693.731265731707
86264b50fffffff,279.0,,319216.74843000004,1144.1460517204303
86264b517ffffff,252.0,,643730.73236,2554.4870331746033
86264b51fffffff,250.0,,1134273.29227,4537.093169080001
86264b527ffffff,198.0,,185555.73919999998,937.1501979797979
86264b52fffffff,518.0,,1340823.45935,2588.4622767374517
86264b537ffffff,134.0,,95765.72581999999,714.6695956716418
86264b547ffffff,766.0,,1018432.445,1329.546272845953
86264b54fffffff,4095.0,,565073174.5021,137991.00720442002
86264b557ffffff,460.0,,3011674.13446,6547.117683608695
86264b55fffffff,914.0,,5349029.3719999995,5852.329728665208
86264b567ffffff,739.0,,3140017.2630999996,4249.008475101488
86264b56fffffff,1056.0,,6018169.0237,5699.0236966856055
86264b577ffffff,640.0,,1174280.3301,1834.8130157812498
86264b587ffffff,602.0,,11271340.881949998,18723.15761121262
86264b58fffffff,1099.0,,1928911.6163,1755.1516071883532
86264b597ffffff,527.0,,328350.13049999997,623.0552760910815
86264b59fffffff,4010.0,,113587362.31105,28326.025513977555
86264b5a7ffffff,329.0,,688134.99607,2091.5957327355623
86264b5afffffff,303.0,,1208308.94849,3987.818311848185
86264b5b7ffffff,933.0,,3394041.6963,3637.772450482315
86264b607ffffff,1799.0,,4004483.6618,2225.949784213452
86264b60fffffff,1246.0,,7494725.1998000005,6015.028250240771
86264b617ffffff,2458.0,,7543482.7475000005,3068.9514839300246
86264b61fffffff,3015.0,,32695556.2035,10844.297248258707
86264b627ffffff,985.0,,2028858.0469,2059.7543623350252
86264b62fffffff,1591.0,,39178406.1377,24625.01957115022
86264b637ffffff,849.0,,2366864.7674,2787.8265811542988
86264b647ffffff,998.0,,80956654.99159999,81118.8927771543
86264b64fffffff,323.0,,624840.59647,1934.491010743034
86264b657ffffff,536.0,,942205.7672,1757.846580597015
86264b65fffffff,173.0,,170744.6796,986.9634658959537
86264b667ffffff,2947.0,,30675413.621999998,10409.030750593824
86264b66fffffff,461.0,,967909.07103,2099.5858373752712
86264b677ffffff,2021.0,,197461814.1564,97705.0045306284
86264b687ffffff,10351.0,,1639826060.9757,158421.99410450197
86264b68fffffff,4392.0,,734346175.2291,167200.8595694672
86264b697ffffff,7476.0,,318848264.749,42649.58062453184
86264b69fffffff,15180.0,,1328378013.8288,87508.43305855073
86264b6a7ffffff,2840.0,,193536985.4287,68146.82585517605
86264b6afffffff,3526.0,,68839514.5854,19523.401754225753
86264b6b7ffffff,2325.0,,7982351.327699999,3433.2693882580643
86264b6c7ffffff,695.0,,3024829.093,4352.2720762589925
86264b6cfffffff,715.0,,1196400.5473,1673.2874787412586
86264b6d7ffffff,1276.0,,3578880.5126,2804.7652920062696
86264b6dfffffff,2007.0,,16505777.1206,8224.104195615346
86264b6e7ffffff,824.0,,4037045.5665,4899.327143810679
86264b6efffffff,991.0,,3919595.2477,3955.191975479314
